title,author,year,day_in_year,pubdate,genre,country,in_links,article_length,page_url
The Sense of the Past,Henry James,1917,1,Collins: 6-Sept-1917|Scribner's: 26-Oct-1917,Novel,"United Kingdom, United States",69,1795,https://en.wikipedia.org/wiki/The_Sense_of_the_Past
The Shadow Line,Joseph Conrad,1917,28,1917,Novel,United Kingdom,102,1719,https://en.wikipedia.org/wiki/The_Shadow_Line
A Sheaf of Bluebells,Baroness Orczy,1917,28,1917,Historical novel,United Kingdom,11,1182,https://en.wikipedia.org/wiki/A_Sheaf_of_Bluebells
South Wind,Norman Douglas,1917,28,1917,Satire; Comedy,United Kingdom,90,1856,https://en.wikipedia.org/wiki/South_Wind_(novel)
The Spy in Black,J. Storer Clouston,1917,28,1917,Spy thriller,United Kingdom,7,935,https://en.wikipedia.org/wiki/The_Spy_in_Black_(novel)
The Clue of the Twisted Candle,Edgar Wallace,1918,28,1918,Crime,United Kingdom,226,3133,https://en.wikipedia.org/wiki/The_Clue_of_the_Twisted_Candle
Down Under Donovan,Edgar Wallace,1918,28,1918,Crime,United Kingdom,254,2886,https://en.wikipedia.org/wiki/Down_Under_Donovan_(novel)
Greatheart,Ethel M. Dell,1918,28,1918,Romance,United Kingdom,8,588,https://en.wikipedia.org/wiki/Greatheart_(Dell_novel)
The Lady from Long Acre,Victor Bridges,1918,28,1918,Romance,United Kingdom,7,650,https://en.wikipedia.org/wiki/The_Lady_from_Long_Acre
The Man from the Clouds,J. Storer Clouston,1918,28,1918,Spy thriller,United Kingdom,5,724,https://en.wikipedia.org/wiki/The_Man_from_the_Clouds
The Man Who Knew,Edgar Wallace,1918,28,1918,Thriller,United Kingdom,227,3023,https://en.wikipedia.org/wiki/The_Man_Who_Knew_(novel)
The Man Who Lost Himself,Henry De Vere Stacpoole,1918,28,1918,Comedy drama,United Kingdom,7,649,https://en.wikipedia.org/wiki/The_Man_Who_Lost_Himself_(novel)
Meccania: The Super-State,Owen Gregory,1918,28,1918,Dystopian fiction; Speculative fiction,United Kingdom,9,826,https://en.wikipedia.org/wiki/Meccania
The Return of the Soldier,Rebecca West,1918,28,1918,"Psychological; ,; War novel",United Kingdom,39,3440,https://en.wikipedia.org/wiki/The_Return_of_the_Soldier
Sylvia Scarlett,Compton Mackenzie,1918,28,1918,Drama,United Kingdom,49,1059,https://en.wikipedia.org/wiki/Sylvia_Scarlett_(novel)
Tarr,Wyndham Lewis,1918,28,1918,Modernist; Novel,,29,1548,https://en.wikipedia.org/wiki/Tarr
Those Folk of Bulboro,Edgar Wallace,1918,179,June 1918,Drama,United Kingdom,227,3121,https://en.wikipedia.org/wiki/Those_Folk_of_Bulboro
The Young Diana,Marie Corelli,1918,28,1918,Drama,United Kingdom,5,527,https://en.wikipedia.org/wiki/The_Young_Diana_(novel)
The Beach of Dreams,Henry De Vere Stacpoole,1919,28,1919,Drama,United Kingdom,6,551,https://en.wikipedia.org/wiki/The_Beach_of_Dreams
The Coming of Bill,P. G. Wodehouse,1919,1,US: 5 August 1919|UK: 1 July 1920,,United States,198,3951,https://en.wikipedia.org/wiki/The_Coming_of_Bill
The Green Rust,Edgar Wallace,1919,28,1919,Crime,United Kingdom,227,2920,https://en.wikipedia.org/wiki/The_Green_Rust
Mr Standfast,John Buchan,1919,28,1919,Thriller,United Kingdom,88,3973,https://en.wikipedia.org/wiki/Mr_Standfast
The Moon and Sixpence,William Somerset Maugham,1919,105,15 April 1919,Biographical novel,United Kingdom,115,3770,https://en.wikipedia.org/wiki/The_Moon_and_Sixpence
Night and Day,Virginia Woolf,1919,293,20 October 1919,,United Kingdom,69,2128,https://en.wikipedia.org/wiki/Night_and_Day_(Woolf_novel)
Poor Relations,Compton Mackenzie,1919,28,1919,Comedy,United Kingdom,76,1266,https://en.wikipedia.org/wiki/Poor_Relations_(novel)
The Secret Battle,A. P. Herbert,1919,28,1919,War novel,United Kingdom,23,3084,https://en.wikipedia.org/wiki/The_Secret_Battle
The Sheik,Edith Maud Hull,1919,28,1919,,United Kingdom,31,2035,https://en.wikipedia.org/wiki/The_Sheik_(novel)
The Street of Adventure,Philip Gibbs,1909,28,1909,Drama,United Kingdom,4,536,https://en.wikipedia.org/wiki/The_Street_of_Adventure_(novel)
Sylvia and Michael,Compton Mackenzie,1919,28,1919,Drama,United Kingdom,47,991,https://en.wikipedia.org/wiki/Sylvia_and_Michael
Valmouth,Ronald Firbank,1919,28,1919,Novel,United Kingdom,20,1009,https://en.wikipedia.org/wiki/Valmouth
The Young Visiters,Daisy Ashford,1919,28,1919,,United Kingdom,63,1552,https://en.wikipedia.org/wiki/The_Young_Visiters
Bulldog Drummond,H. C. McNeile; (as; Sapper; ),1920,28,1920,Crime fiction,United Kingdom,57,1560,https://en.wikipedia.org/wiki/Bulldog_Drummond_(novel)
The Cask,Freeman Wills Crofts,1920,28,1920,Detective,United Kingdom,11,622,https://en.wikipedia.org/wiki/The_Cask
The Daffodil Mystery,Edgar Wallace,1920,28,1920,Thriller,United Kingdom,227,2941,https://en.wikipedia.org/wiki/The_Daffodil_Mystery
The First Sir Percy,Baroness Orczy,1920,28,1920,"Adventure; ,; Historical",United Kingdom,35,1881,https://en.wikipedia.org/wiki/The_First_Sir_Percy
The Great Impersonation,E. Phillips Oppenheim,1920,28,1920,"Mystery; , Novel",United Kingdom,14,2166,https://en.wikipedia.org/wiki/The_Great_Impersonation_(novel)
The House in Dormer Forest,Mary Webb,1920,28,1920,Regional drama,United Kingdom,7,643,https://en.wikipedia.org/wiki/The_House_in_Dormer_Forest
Jack O'Judgment,Edgar Wallace,1920,28,1920,Thriller,United Kingdom,225,3106,https://en.wikipedia.org/wiki/Jack_O%27Judgment
The Lost Girl,D. H. Lawrence,2024,1,1920|[1],,United Kingdom,62,1605,https://en.wikipedia.org/wiki/The_Lost_Girl
The Loudwater Mystery,Edgar Jepson,1920,28,1920,Crime,United Kingdom,5,838,https://en.wikipedia.org/wiki/The_Loudwater_Mystery_(novel)
The Mysterious Affair at Styles,Agatha Christie,1920,302,October 1920,Crime novel,United Kingdom,338,9457,https://en.wikipedia.org/wiki/The_Mysterious_Affair_at_Styles
The Summons,A. E. W. Mason,2024,276,October 1920|[2],,,33,2574,https://en.wikipedia.org/wiki/The_Summons_(Mason_novel)
The Top of the World,Ethel M. Dell,1920,28,1920,Drama,United Kingdom,6,541,https://en.wikipedia.org/wiki/The_Top_of_the_World_(novel)
The Vanity Girl,Compton Mackenzie,1920,28,1920,Drama,United Kingdom,47,942,https://en.wikipedia.org/wiki/The_Vanity_Girl
A Voyage to Arcturus,David Lindsay,1920,28,1920,"Fantasy; ,; science fiction",United Kingdom,105,5305,https://en.wikipedia.org/wiki/A_Voyage_to_Arcturus
Women in Love,D. H. Lawrence,1920,28,1920,Novel,,169,3923,https://en.wikipedia.org/wiki/Women_in_Love
Anthony Lyveden,Dornford Yates,2024,1,1921|[1],Novel,,39,1675,https://en.wikipedia.org/wiki/Anthony_Lyveden
The Black Moth,Georgette Heyer,1921,28,1921,"Georgian; ,; Romance",United Kingdom,85,2874,https://en.wikipedia.org/wiki/The_Black_Moth
The Book of All Power,Edgar Wallace,1921,28,1921,Thriller,United Kingdom,226,3388,https://en.wikipedia.org/wiki/The_Book_of_All_Power
Burning Sands,Arthur Weigall,1921,28,1921,Drama,United Kingdom,5,680,https://en.wikipedia.org/wiki/Burning_Sands_(novel)
Crome Yellow,Aldous Huxley,1921,28,1921,,United Kingdom,88,2847,https://en.wikipedia.org/wiki/Crome_Yellow
Dimsie Goes To School,Dorita Fairlie Bruce,1921,28,1921,Children's novel,United Kingdom,17,854,https://en.wikipedia.org/wiki/Dimsie_Goes_to_School
Dimsie Moves Up,Dorita Fairlie Bruce,1921,28,1921,Children's novel,United Kingdom,9,1029,https://en.wikipedia.org/wiki/Dimsie_Moves_Up
The House by the River,A. P. Herbert,1921,28,1921,Crime thriller,United Kingdom,8,684,https://en.wikipedia.org/wiki/The_House_by_the_River
If Winter Comes,Donald Henderson,1921,28,1921,,United Kingdom,14,2325,https://en.wikipedia.org/wiki/If_Winter_Comes_(novel)
Jacob's Ladder,E. Phillips Oppenheim,1921,28,1921,Thriller,United Kingdom,5,601,https://en.wikipedia.org/wiki/Jacob%27s_Ladder_(Oppenheim_novel)
Joanna Godden,Sheila Kaye-Smith,1921,28,1921,Thriller,United Kingdom,9,528,https://en.wikipedia.org/wiki/Joanna_Godden
The Law of the Four Just Men,Edgar Wallace,1921,28,1921,Thriller,United Kingdom,226,2905,https://en.wikipedia.org/wiki/The_Law_of_the_Four_Just_Men
Memoirs of a Midget,Walter de la Mare,,1,"William Collins, Sons",,,11,2830,https://en.wikipedia.org/wiki/Memoirs_of_a_Midget
The Path of the King,John Buchan,2024,1,1921|[1],Novel,,63,2210,https://en.wikipedia.org/wiki/The_Path_of_the_King
Rich Relatives,Compton Mackenzie,1921,28,1921,Comedy,United Kingdom,47,962,https://en.wikipedia.org/wiki/Rich_Relatives
What Timmy Did,Marie Belloc Lowndes,1921,28,1921,Melodrama,United Kingdom,3,473,https://en.wikipedia.org/wiki/What_Timmy_Did
Aaron's Rod,D. H. Lawrence,1922,28,1922,Picaresque novel,United Kingdom,71,2310,https://en.wikipedia.org/wiki/Aaron%27s_Rod_(novel)
The Angel of Terror,Edgar Wallace,1922,28,1922,Crime,United Kingdom,227,2898,https://en.wikipedia.org/wiki/The_Angel_of_Terror
The Black Gang,H. C. McNeile; (as; Sapper; ),1922,28,1922,crime fiction,United Kingdom,43,1240,https://en.wikipedia.org/wiki/The_Black_Gang_(novel)
Captain Blood: His Odyssey,Rafael Sabatini,1922,28,1922,,England,893,6408,https://en.wikipedia.org/wiki/Captain_Blood_(novel)
The Crimson Circle,Edgar Wallace,1922,28,1922,Detective fiction,United Kingdom,230,3529,https://en.wikipedia.org/wiki/The_Crimson_Circle_(novel)
December Love,Robert Hichens,1922,28,1922,Drama,United Kingdom,4,465,https://en.wikipedia.org/wiki/December_Love
The Diary of a Drug Fiend,Aleister Crowley,1922,28,1922,Occult; Novel,United Kingdom,144,3090,https://en.wikipedia.org/wiki/The_Diary_of_a_Drug_Fiend
Don Rodriguez: Chronicles of Shadow Valley,Lord Dunsany,1922,28,1922,Fantasy; short stories,United States,52,1449,https://en.wikipedia.org/wiki/Don_Rodriguez:_Chronicles_of_Shadow_Valley
The Evil Shepherd,E. Phillips Oppenheim,1922,28,1922,Thriller,United Kingdom,4,626,https://en.wikipedia.org/wiki/The_Evil_Shepherd
The Flying Fifty-Five,Edgar Wallace,1922,28,1922,Crime,United Kingdom,228,2911,https://en.wikipedia.org/wiki/The_Flying_Fifty-Five_(novel)
The Great Prince Shan,E. Phillips Oppenheim,1922,28,1922,Thriller,United Kingdom,6,718,https://en.wikipedia.org/wiki/The_Great_Prince_Shan_(novel)
Greensea Island,Victor Bridges,1922,28,1922,Romance,United Kingdom,4,638,https://en.wikipedia.org/wiki/Greensea_Island
The Haunted Woman,David Lindsay,1922,28,1922,Fantasy novel,United Kingdom,14,1057,https://en.wikipedia.org/wiki/The_Haunted_Woman
Huntingtower,John Buchan,2024,1,1922|[1],Thriller,,83,3005,https://en.wikipedia.org/wiki/Huntingtower_(novel)
Jacob's Room,Virginia Woolf,1922,299,"October 26, 1922",,United Kingdom,68,1721,https://en.wikipedia.org/wiki/Jacob%27s_Room
Kai Lung's Golden Hours,Ernest Bramah,1922,28,1922,Fantasy,United Kingdom,18,944,https://en.wikipedia.org/wiki/Kai_Lung%27s_Golden_Hours
Lady into Fox,David Garnett,1922,28,1922,Fantasy novel,United Kingdom,30,1230,https://en.wikipedia.org/wiki/Lady_into_Fox
Life and Death of Harriett Frean,May Sinclair,1922,28,1922,Fiction,United Kingdom,11,996,https://en.wikipedia.org/wiki/Life_and_Death_of_Harriett_Frean
The Love Story of Aliette Brunton,Gilbert Frankau,1922,28,1922,Romance,United Kingdom,5,526,https://en.wikipedia.org/wiki/The_Love_Story_of_Aliette_Brunton_(novel)
The Lunatic at Large Again,J. Storer Clouston,1922,28,1922,Comedy,United Kingdom,5,631,https://en.wikipedia.org/wiki/The_Lunatic_at_Large_Again
Mr. Justice Maxell,Edgar Wallace,1922,28,1922,Thriller,United Kingdom,226,2876,https://en.wikipedia.org/wiki/Mr._Justice_Maxell
Nicolette: A tale of old Provence,Baroness Orczy,1922,28,1922,"Adventure; ,; Historical novel",United Kingdom,9,579,https://en.wikipedia.org/wiki/Nicolette_(novel)
The Pit-Prop Syndicate,Freeman Wills Crofts,1922,28,1922,Thriller,United Kingdom,4,721,https://en.wikipedia.org/wiki/The_Pit-Prop_Syndicate
The Red House Mystery,A. A. Milne,1922,96,6 April 1922,Mystery novel,United Kingdom,13,1333,https://en.wikipedia.org/wiki/The_Red_House_Mystery
The Secret Adversary,Agatha Christie,1922,28,January 1922,Crime novel,United Kingdom,263,6735,https://en.wikipedia.org/wiki/The_Secret_Adversary
Seven for a Secret,Mary Webb,1922,28,1922,Regional drama,United Kingdom,6,583,https://en.wikipedia.org/wiki/Seven_for_a_Secret
The Triumph of the Scarlet Pimpernel,Baroness Orczy,1922,28,1922,"Adventure; ,; Historical novel",United Kingdom,44,1574,https://en.wikipedia.org/wiki/The_Triumph_of_the_Scarlet_Pimpernel
The Velveteen Rabbit,Margery Williams,1922,28,1922,Children's novel,United Kingdom,123,2748,https://en.wikipedia.org/wiki/The_Velveteen_Rabbit
The Voyages of Doctor Dolittle,Hugh Lofting,1922,28,1922,"Children's novel, animals",United States of America,163,3535,https://en.wikipedia.org/wiki/The_Voyages_of_Doctor_Dolittle
The Worm Ouroboros,E. R. Eddison,1922,28,1922,Fantasy,United Kingdom,96,5513,https://en.wikipedia.org/wiki/The_Worm_Ouroboros
Antic Hay,Aldous Huxley,1923,28,1923,,United Kingdom,72,1975,https://en.wikipedia.org/wiki/Antic_Hay
Doctor Dolittle's Post Office,Hugh Lofting,1923,28,1923,Children's novel,United Kingdom,38,1306,https://en.wikipedia.org/wiki/Doctor_Dolittle%27s_Post_Office
Fields of Sleep,E. C. Vivian,1923,28,1923,Fantasy,United Kingdom,8,1008,https://en.wikipedia.org/wiki/Fields_of_Sleep
The Garden of God,Henry De Vere Stacpoole,1923,28,1923,Romance,United Kingdom,22,1892,https://en.wikipedia.org/wiki/The_Garden_of_God
The Great Roxhythe,Georgette Heyer,1923,28,1923,"Restoration; ,; Romance",United Kingdom,47,1081,https://en.wikipedia.org/wiki/The_Great_Roxhythe
The Green Archer,Edgar Wallace,1923,28,1923,Thriller,United Kingdom,302,3672,https://en.wikipedia.org/wiki/The_Green_Archer_(novel)
The Groote Park Murder,Freeman Wills Crofts,1923,28,1923,Detective,United Kingdom,5,628,https://en.wikipedia.org/wiki/The_Groote_Park_Murder
The Inevitable Millionaires,E. Phillips Oppenheim,1923,28,1923,Comedy,United Kingdom,5,781,https://en.wikipedia.org/wiki/The_Inevitable_Millionaires
The Inimitable Jeeves,P. G. Wodehouse,1923,1,17 May 1923 (UK)|28 September 1923 (US),Comedy,United Kingdom,270,4027,https://en.wikipedia.org/wiki/The_Inimitable_Jeeves
Leave It to Psmith,P. G. Wodehouse,1923,1,30 November 1923 (UK)|14 March 1924 (US),Comic novel,United Kingdom,228,5799,https://en.wikipedia.org/wiki/Leave_It_to_Psmith
Love and the Philosopher,Marie Corelli,1923,28,1923,Drama,United Kingdom,4,478,https://en.wikipedia.org/wiki/Love_and_the_Philosopher
Midwinter,John Buchan,2024,1,1923|[1],Historical novel,,72,2686,https://en.wikipedia.org/wiki/Midwinter_(novel)
The Missing Million,Edgar Wallace,1923,28,1923,Crime,United Kingdom,226,3001,https://en.wikipedia.org/wiki/The_Missing_Million_(novel)
The Murder on the Links,Agatha Christie,1923,28,1923,Crime novel,United Kingdom,231,7370,https://en.wikipedia.org/wiki/The_Murder_on_the_Links
Valerie French,Dornford Yates,2024,1,1923|[1],Novel,,40,1595,https://en.wikipedia.org/wiki/Valerie_French_(novel)
Whose Body?,Dorothy L. Sayers,2024,1,1923|[1],Mystery novel,United Kingdom,73,2273,https://en.wikipedia.org/wiki/Whose_Body%3F
The Winding Stair,A. E. W. Mason,2024,1,1923|[1],,,34,1788,https://en.wikipedia.org/wiki/The_Winding_Stair_(novel)
After the Verdict,Robert Hichens,1924,28,1924,Drama,United Kingdom,5,639,https://en.wikipedia.org/wiki/After_the_Verdict_(novel)
Beau Geste,P. C. Wren,1924,28,1924,Novel,,95,2890,https://en.wikipedia.org/wiki/Beau_Geste
Bill the Conqueror,P. G. Wodehouse,1924,1,13 November 1924 (UK)|20 February 1925 (US),,United Kingdom,199,3864,https://en.wikipedia.org/wiki/Bill_the_Conqueror
The Constant Nymph,Margaret Kennedy,1924,28,1924,Novel,United Kingdom,47,1034,https://en.wikipedia.org/wiki/The_Constant_Nymph_(novel)
The Counterplot,Hope Mirrlees,1924,28,1924,,United Kingdom,10,1711,https://en.wikipedia.org/wiki/The_Counterplot
The Dark Eyes of London,Edgar Wallace,1924,28,1924,Crime,United Kingdom,228,3303,https://en.wikipedia.org/wiki/The_Dark_Eyes_of_London_(novel)
The Deductions of Colonel Gore,Lynn Brock,1924,28,1924,Detective,United Kingdom,6,632,https://en.wikipedia.org/wiki/The_Deductions_of_Colonel_Gore
Doctor Dolittle's Circus,Hugh Lofting,1924,28,1924,Children's novel,United Kingdom,37,2136,https://en.wikipedia.org/wiki/Doctor_Dolittle%27s_Circus
Double Dan,Edgar Wallace,1924,28,1924,Crime,United Kingdom,226,2902,https://en.wikipedia.org/wiki/Double_Dan_(novel)
The Double Florin,John Rhode,1924,28,1924,Thriller,United Kingdom,4,777,https://en.wikipedia.org/wiki/The_Double_Florin
The Ex-Duke,E. Phillips Oppenheim,1924,28,1924,Drama,United Kingdom,5,536,https://en.wikipedia.org/wiki/The_Ex-Duke
The Face in the Night,Edgar Wallace,1924,28,1924,Thriller,United Kingdom,227,2929,https://en.wikipedia.org/wiki/The_Face_in_the_Night
Gerald Cranston's Lady,Gilbert Frankau,1924,28,1924,"Romance, Melodrama",United Kingdom,4,624,https://en.wikipedia.org/wiki/Gerald_Cranston%27s_Lady_(novel)
The Honourable Jim,Baroness Orczy,1924,28,1924,Historical novel,United Kingdom,7,449,https://en.wikipedia.org/wiki/The_Honourable_Jim
The House of the Arrow,A. E. W. Mason,1924,28,1924,Detective fiction,England and France,39,2377,https://en.wikipedia.org/wiki/The_House_of_the_Arrow_(novel)
Inspector French's Greatest Case,Freeman Wills Crofts,1924,28,1924,Detective,United Kingdom,9,904,https://en.wikipedia.org/wiki/Inspector_French%27s_Greatest_Case
The King of Elfland's Daughter,Lord Dunsany,1924,28,1924,Fantasy,United States,80,3165,https://en.wikipedia.org/wiki/The_King_of_Elfland%27s_Daughter
The Man in the Brown Suit,Agatha Christie,1924,235,22 August 1924,Crime,United Kingdom,202,5814,https://en.wikipedia.org/wiki/The_Man_in_the_Brown_Suit
"""Mr. Rowl""",D. K. Broster,1924,28,1924,,,6,981,https://en.wikipedia.org/wiki/%22Mr._Rowl%22
A Passage to India,E. M. Forster,2001,155,4 June 1924|[1],novel,United Kingdom,222,4867,https://en.wikipedia.org/wiki/A_Passage_to_India
The Passionate Quest,E. Phillips Oppenheim,1924,28,1924,Drama,United Kingdom,7,540,https://en.wikipedia.org/wiki/The_Passionate_Quest_(novel)
Pimpernel and Rosemary,Baroness Orczy,1924,28,1924,"Adventure; ,; Historical novel",United Kingdom,38,1327,https://en.wikipedia.org/wiki/Pimpernel_and_Rosemary
The Rasp,Philip MacDonald,1924,28,1924,Mystery novel; /; Whodunnit,United Kingdom,76,1924,https://en.wikipedia.org/wiki/The_Rasp
Room 13,Edgar Wallace,1924,28,1924,Crime,United Kingdom,228,3074,https://en.wikipedia.org/wiki/Room_13_(Wallace_novel)
The Sinister Man,Edgar Wallace,1924,28,1924,Thriller,United Kingdom,226,2898,https://en.wikipedia.org/wiki/The_Sinister_Man_(novel)
Some Do Not …,Ford Madox Ford,1924,28,1924,,,18,2843,https://en.wikipedia.org/wiki/Some_Do_Not_...
The Third Round,H. C. McNeile; (as; Sapper; ),1924,28,1924,crime fiction,United Kingdom,40,1124,https://en.wikipedia.org/wiki/The_Third_Round_(novel)
The Three Hostages,John Buchan,2024,1,1924|[1],Thriller,,83,2821,https://en.wikipedia.org/wiki/The_Three_Hostages
The Three Oak Mystery,Edgar Wallace,1924,28,1924,Crime,United Kingdom,225,2905,https://en.wikipedia.org/wiki/The_Three_Oak_Mystery
The Avenger or The Hairy Arm,Edgar Wallace,1925,28,1925,Crime,United Kingdom,230,3392,https://en.wikipedia.org/wiki/The_Avenger_(novel)
The Ball of Fortune,Sydney Horler,1925,28,1925,Sports mystery,United Kingdom,5,615,https://en.wikipedia.org/wiki/The_Ball_of_Fortune_(novel)
Blue Hand,Edgar Wallace,1925,28,1925,Crime,United Kingdom,226,2965,https://en.wikipedia.org/wiki/Blue_Hand
Colonel Gore’s Second Case,Lynn Brock,1925,28,1925,Detective,United Kingdom,8,664,https://en.wikipedia.org/wiki/Colonel_Gore%27s_Second_Case
Coral,Compton Mackenzie,1925,28,1925,Drama,United Kingdom,47,845,https://en.wikipedia.org/wiki/Coral_(novel)
Doctor Dolittle's Zoo,Hugh Lofting,1925,28,1925,Children's novel,United Kingdom,31,1414,https://en.wikipedia.org/wiki/Doctor_Dolittle%27s_Zoo
The Fellowship of the Frog,Edgar Wallace,1925,28,1925,Crime,United Kingdom,229,3195,https://en.wikipedia.org/wiki/The_Fellowship_of_the_Frog
The Flight of the Heron,D. K. Broster,1925,28,1925,Historical novel,United Kingdom,16,2546,https://en.wikipedia.org/wiki/The_Flight_of_the_Heron
The Gates of Morning,Henry De Vere Stacpoole,1925,28,1925,Romance,United Kingdom,17,2193,https://en.wikipedia.org/wiki/The_Gates_of_Morning
The Great Pacific War,Hector Charles Bywater,1925,28,1925,,,10,1070,https://en.wikipedia.org/wiki/The_Great_Pacific_War
If the Gods Laugh,Rosita Forbes,1925,28,1925,Romance,United Kingdom,5,640,https://en.wikipedia.org/wiki/If_the_Gods_Laugh
John Macnab,John Buchan,2024,1,1925|[1],Adventure novel,,79,2596,https://en.wikipedia.org/wiki/John_Macnab
Menace from the Moon (1925 novel),Bohun Lynch,1925,28,1925 (|Jarrolds|),Science fiction,United Kingdom,19,1496,https://en.wikipedia.org/wiki/Menace_from_the_Moon_(1925_novel)
Mrs Dalloway,Virginia Woolf,1925,134,14 May 1925,,United Kingdom,526,9098,https://en.wikipedia.org/wiki/Mrs_Dalloway
No More Parades,Ford Madox Ford,1925,28,1925,,,15,2783,https://en.wikipedia.org/wiki/No_More_Parades_(novel)
The Paddington Mystery,John Rhode,1925,28,1925,Detective,United Kingdom,10,656,https://en.wikipedia.org/wiki/The_Paddington_Mystery
The Painted Veil,W. Somerset Maugham,1925,28,1925,,United Kingdom,108,2804,https://en.wikipedia.org/wiki/The_Painted_Veil_(novel)
Pastors and Masters,Ivy Compton-Burnett,2024,1,1925|[1],Novel,United Kingdom,13,2149,https://en.wikipedia.org/wiki/Pastors_and_Masters
Peter Pettinger,William Riley,1925,28,1925,Drama,United Kingdom,5,546,https://en.wikipedia.org/wiki/Peter_Pettinger
The Sailor's Return,David Garnett,1925,28,1925,Historical fiction,,11,813,https://en.wikipedia.org/wiki/The_Sailor%27s_Return_(novel)
Sam the Sudden,P. G. Wodehouse,1925,1,15 October 1925 (UK)| 6 November 1925 (US),Comic novel,United Kingdom,202,4250,https://en.wikipedia.org/wiki/Sam_the_Sudden
Sea Horses,Francis Brett Young,1925,28,1925,Drama,,6,628,https://en.wikipedia.org/wiki/Sea_Horses_(novel)
The Secret of Chimneys,Agatha Christie,1925,179,June 1925,Crime,United Kingdom,206,6754,https://en.wikipedia.org/wiki/The_Secret_of_Chimneys
Simon the Coldheart,Georgette Heyer,1925,28,1925,"Mediaeval; ,; romance",United Kingdom,49,1605,https://en.wikipedia.org/wiki/Simon_the_Coldheart
Simonetta Perkins,L.P. Hartley,1925,28,1925,Drama,,4,477,https://en.wikipedia.org/wiki/Simonetta_Perkins
Sorrell and Son,Warwick Deeping,1925,28,1925,,United Kingdom,18,770,https://en.wikipedia.org/wiki/Sorrell_and_Son_(novel)
The Strange Countess,Edgar Wallace,1925,28,1925,Crime,United Kingdom,226,3004,https://en.wikipedia.org/wiki/The_Strange_Countess_(novel)
The Three Just Men,Edgar Wallace,1925,28,1925,Thriller,United Kingdom,226,2940,https://en.wikipedia.org/wiki/The_Three_Just_Men
Barbara on Her Own,Edgar Wallace,1926,28,1926,Mystery,United Kingdom,226,3150,https://en.wikipedia.org/wiki/Barbara_on_Her_Own
Beau Sabreur,P. C. Wren,1926,28,1926,,United Kingdom,24,1252,https://en.wikipedia.org/wiki/Beau_Sabreur_(novel)
Bellarion the Fortunate,Rafael Sabatini,1926,28,1926,Historical romance,United Kingdom / United States,18,1125,https://en.wikipedia.org/wiki/Bellarion_the_Fortunate
The Black Abbot,Edgar Wallace,1926,28,1926,Crime,United Kingdom,227,3133,https://en.wikipedia.org/wiki/The_Black_Abbot_(novel)
The Book of Brownies,Enid Blyton,1926,28,1926,Fantasy,,13,954,https://en.wikipedia.org/wiki/Book_of_Brownies
The Cheyne Mystery,Freeman Wills Crofts,1926,28,1926,Mystery,United Kingdom,8,1026,https://en.wikipedia.org/wiki/The_Cheyne_Mystery
Clouds of Witness,Dorothy L. Sayers,2024,1,1926|[1],Mystery novel,United Kingdom,89,2612,https://en.wikipedia.org/wiki/Clouds_of_Witness
The Dancing Floor,John Buchan,2024,1,1926|[1],Adventure,,70,2264,https://en.wikipedia.org/wiki/The_Dancing_Floor
Doctor Dolittle's Caravan,Hugh Lofting,1926,28,1926,"Fantasy; ,; children's novel",United States,34,1327,https://en.wikipedia.org/wiki/Doctor_Dolittle%27s_Caravan
Dr. Priestley's Quest,John Rhode,1926,28,1926,Detective,United Kingdom,8,755,https://en.wikipedia.org/wiki/Dr._Priestley%27s_Quest
Fairy Gold,Compton Mackenzie,1926,28,1926,Drama,United Kingdom,54,928,https://en.wikipedia.org/wiki/Fairy_Gold
The Final Count,H. C. McNeile; (as; Sapper; ),1926,28,1926,Crime fiction,United Kingdom,41,1189,https://en.wikipedia.org/wiki/The_Final_Count
The Golden Beast,E. Phillips Oppenheim,1926,28,1926,Thriller,United Kingdom,4,722,https://en.wikipedia.org/wiki/The_Golden_Beast
The House of Secrets,Sydney Horler,1926,28,1926,Thriller,United Kingdom,8,730,https://en.wikipedia.org/wiki/The_House_of_Secrets_(novel)
King of Kilba,Percy F. Westerman,1926,28,1926,Children's literature,United Kingdom,6,1379,https://en.wikipedia.org/wiki/King_of_Kilba
Lolly Willowes,Sylvia Townsend Warner,1926,28,1926,"Fantasy; ,; Satire",United Kingdom,22,1577,https://en.wikipedia.org/wiki/Lolly_Willowes
Lud-in-the-Mist,Hope Mirrlees,1926,28,1926 |Collins,Fantasy novel,United Kingdom,31,1710,https://en.wikipedia.org/wiki/Lud-in-the-Mist
A Man Could Stand Up —,Ford Madox Ford,1926,28,1926,,,22,1356,https://en.wikipedia.org/wiki/A_Man_Could_Stand_Up_%E2%80%94
Marazan,Nevil Shute,1926,28,1926,Thriller novel,England,39,1306,https://en.wikipedia.org/wiki/Marazan
The Murder of Roger Ackroyd,Agatha Christie,2024,1,1926|[1],Crime novel,United Kingdom,322,9732,https://en.wikipedia.org/wiki/The_Murder_of_Roger_Ackroyd
The Northing Tramp,Edgar Wallace,1926,28,1926,Crime,United Kingdom,226,2908,https://en.wikipedia.org/wiki/The_Northing_Tramp
No. 17,Joseph Jefferson Farjeon,1926,28,1926,Thriller,United Kingdom,7,611,https://en.wikipedia.org/wiki/Number_17_(novel)
Payment Deferred,C.S. Forester,1926,28,1926,Crime fiction,England,40,1524,https://en.wikipedia.org/wiki/Payment_Deferred
