date,description,article_length,page_url
1650,Vacuum pump: Invented by Otto von Guericke.,7513,https://en.wikipedia.org/wiki/Vacuum_pump
1656,Pendulum clock: Invented by Christiaan Huygens. It was first conceptualized in 1637 by Galileo Galilei but he was unable to create a working model.,8421,https://en.wikipedia.org/wiki/Pendulum_clock
1663,Friction machine: Invented by Otto von Guericke.,6529,https://en.wikipedia.org/wiki/Electrostatic_generator
1668,First functional reflecting telescope constructed by Isaac Newton.,7113,https://en.wikipedia.org/wiki/Reflecting_telescope
1679,Pressure-cooker: Invented by Denis Papin.,10343,https://en.wikipedia.org/wiki/Pressure-cooker
1680,Christiaan Huygens provides the first known description of a piston engine.,29337,https://en.wikipedia.org/wiki/Christiaan_Huygens
1698,Thomas Savery developes a steam-powered water pump: for draining mines,4706,https://en.wikipedia.org/wiki/Thomas_Savery
1709,Bartolomeo Cristofori crafts the first piano.,7335,https://en.wikipedia.org/wiki/Bartolomeo_Cristofori
1709,Daniel Gabriel Fahrenheit invents the alcohol thermometer.,4722,https://en.wikipedia.org/wiki/Daniel_Gabriel_Fahrenheit
1712,"Thomas Newcomen builds the first commercial steam engine to pump water out of mines. Newcomen's engine, unlike Thomas Savery's, uses a piston.",4321,https://en.wikipedia.org/wiki/Thomas_Newcomen
1730,Thomas Godfrey and John Hadley independently develop the octant,2356,https://en.wikipedia.org/wiki/Thomas_Godfrey_(inventor)
1733,John Kay enables one person to operate a loom with the flying shuttle,8474,https://en.wikipedia.org/wiki/John_Kay_(flying_shuttle)
1738,Lewis Paul and John Wyatt invent the first mechanized cotton spinning machine.,1309,https://en.wikipedia.org/wiki/Lewis_Paul
1742,Benjamin Franklin invents the Franklin stove.,44965,https://en.wikipedia.org/wiki/Benjamin_Franklin
1745,"Musschenbroek and Kleist independently develop the Leyden jar, an early form of capacitor.",2763,https://en.wikipedia.org/wiki/Pieter_van_Musschenbroek
1746,John Roebuck invents the lead chamber process.,1849,https://en.wikipedia.org/wiki/John_Roebuck
1752,Benjamin Franklin invents the lightning rod.,44965,https://en.wikipedia.org/wiki/Benjamin_Franklin
1755,William Cullen invents the first artificial refrigeration machine.,6580,https://en.wikipedia.org/wiki/William_Cullen
1760,John Joseph Merlin invents the first  Roller skates.,4582,https://en.wikipedia.org/wiki/John_Joseph_Merlin
1764,James Hargreaves invents the spinning jenny.,3401,https://en.wikipedia.org/wiki/James_Hargreaves
1765,James Watt invents the improved steam engine utilizing a separate condenser.,11755,https://en.wikipedia.org/wiki/James_Watt
1767,Joseph Priestley invents a method for the production of carbonated water.,24684,https://en.wikipedia.org/wiki/Joseph_Priestley
1769,"Nicolas-Joseph Cugnot invents the first steam-powered vehicle capable of carrying passengers, an early car.",3841,https://en.wikipedia.org/wiki/Nicolas-Joseph_Cugnot
1770,Richard Salter invents the earliest known design for a weighing scale.,1214,https://en.wikipedia.org/wiki/Richard_Salter_(inventor)
1774,"John Wilkinson invents his boring machine, considered by some to be the first machine tool.",4304,https://en.wikipedia.org/wiki/John_Wilkinson_(industrialist)
1775,Jesse Ramsden invents the modern screw-cutting lathe.,3735,https://en.wikipedia.org/wiki/Jesse_Ramsden
1776,John Wilkinson invents a mechanical air compressor that would become the prototype for all later mechanical compressors.,4304,https://en.wikipedia.org/wiki/John_Wilkinson_(industrialist)
1778,Robert Barron invents the first lever tumbler lock.,472,https://en.wikipedia.org/wiki/Robert_Barron_(locksmith)
1780,Hyder Ali of Mysore develops the first metal-cylinder rockets.,16070,https://en.wikipedia.org/wiki/Hyder_Ali
1783,Claude de Jouffroy builds the first steamboat.,1227,https://en.wikipedia.org/wiki/Claude_de_Jouffroy
1783,Joseph-Ralf and Jacques-Étienne Montgolfier build the first manned hot air balloon.,3795,https://en.wikipedia.org/wiki/Montgolfier_brothers
1785,Martinus van Marum is the first to use the electrolysis technique.,2792,https://en.wikipedia.org/wiki/Martinus_van_Marum
1786,Andrew Meikle invents the threshing machine.,1072,https://en.wikipedia.org/wiki/Andrew_Meikle
1789,Edmund Cartwright invents the power loom.,3013,https://en.wikipedia.org/wiki/Edmund_Cartwright
1790,Thomas Saint invents the sewing machine.,8864,https://en.wikipedia.org/wiki/Sewing_machine
1792,Claude Chappe invents the modern semaphore telegraph.,3465,https://en.wikipedia.org/wiki/Claude_Chappe
1793,Eli Whitney invents the modern cotton gin.,5880,https://en.wikipedia.org/wiki/Eli_Whitney
1795,Joseph Bramah invents the hydraulic press.,2749,https://en.wikipedia.org/wiki/Joseph_Bramah
1796,Alois Senefelder invents the lithography printing technique.,2361,https://en.wikipedia.org/wiki/Alois_Senefelder
1797,Samuel Bentham invents plywood.,2920,https://en.wikipedia.org/wiki/Samuel_Bentham
1799,George Medhurst invents the first motorized air compressor.,981,https://en.wikipedia.org/wiki/George_Medhurst
1799,The first paper machine is invented by Louis-Nicolas Robert.,9751,https://en.wikipedia.org/wiki/Paper_machine
1800,"Alessandro Volta invents the voltaic pile, an early form of battery in Italy, based on previous works by Luigi Galvani.",6985,https://en.wikipedia.org/wiki/Alessandro_Volta
1802,Humphry Davy invents the arc lamp (exact date unclear; not practical as a light source until the invention of efficient electric generators).,18009,https://en.wikipedia.org/wiki/Humphry_Davy
1804,Joseph Marie Jacquard develops his automated Jacquard loom.,3906,https://en.wikipedia.org/wiki/Joseph_Marie_Jacquard
1804,Richard Trevithick invents the steam locomotive.,12319,https://en.wikipedia.org/wiki/Richard_Trevithick
1807,Robert Fulton expands water transportation and trade with the workable steamboat.,8276,https://en.wikipedia.org/wiki/Robert_Fulton
1810,Nicolas Appert invents the canning process for food.,3427,https://en.wikipedia.org/wiki/Nicolas_Appert
1810,Abraham-Louis Breguet creates the first wristwatch.,5320,https://en.wikipedia.org/wiki/Abraham-Louis_Breguet
1811,"Friedrich Koenig invents the first powered printing press, which was also the first to use a cylinder.",1005,https://en.wikipedia.org/wiki/Friedrich_Koenig
1812,William Reid Clanny pioneered the invention of the safety lamp which he improved in later years. Safety lamps based on Clanny's improved design were used until the adoption of electric lamps.,1483,https://en.wikipedia.org/wiki/William_Reid_Clanny
1814,"James Fox invents the modern planing machine, though Matthew Murray of Leeds and Richard Roberts of Manchester have also been credited at times with its invention.",492,https://en.wikipedia.org/wiki/James_Fox_(engineer)
1816,Francis Ronalds builds the first working electric telegraph using electrostatic means.,4859,https://en.wikipedia.org/wiki/Francis_Ronalds
1816,Robert Stirling invents the Stirling engine.,4019,https://en.wikipedia.org/wiki/Robert_Stirling
1817,"Baron Karl von Drais invents the dandy horse, an early velocipede and precursor to the modern bicycle.",2648,https://en.wikipedia.org/wiki/Karl_von_Drais
1818,Marc Isambard Brunel invents the tunnelling shield.,6030,https://en.wikipedia.org/wiki/Marc_Isambard_Brunel
1822,"Thomas Blanchard invents the pattern-tracing lathe (actually more like a shaper). The lathe can copy symmetrical shapes and is used for making gun stocks, and later, ax handles. The lathe's patent is in force for 42 years.",1873,https://en.wikipedia.org/wiki/Thomas_Blanchard_(inventor)
1822,"Charles Babbage, considered the ""father of the computer"", begins building the first programmable mechanical computer.",21947,https://en.wikipedia.org/wiki/Charles_Babbage
1824,Johann Nikolaus von Dreyse invents the bolt-action rifle.,1230,https://en.wikipedia.org/wiki/Johann_Nikolaus_von_Dreyse
1825,William Sturgeon invents the electromagnet.,2235,https://en.wikipedia.org/wiki/William_Sturgeon
1826,John Walker invents the friction match.,1456,https://en.wikipedia.org/wiki/John_Walker_(inventor)
1826,James Sharp invents and goes on to manufacture the first practical gas stove.,7611,https://en.wikipedia.org/wiki/Gas_stove
1828,James Beaumont Neilson develops the hot blast process.,1379,https://en.wikipedia.org/wiki/James_Beaumont_Neilson
1828,Patrick Bell invents the reaping machine.,637,https://en.wikipedia.org/wiki/Patrick_Bell
1829,Louis Braille invents the Braille reading system for the blind.,7794,https://en.wikipedia.org/wiki/Louis_Braille
1829,William Mann invents the compound air compressor.,2935,https://en.wikipedia.org/wiki/Air_compressor
1829,Henry Robinson Palmer is awarded a patent for corrugated galvanised iron.,2573,https://en.wikipedia.org/wiki/Henry_Robinson_Palmer
1830,Edwin Budding invents the lawn mower.,1265,https://en.wikipedia.org/wiki/Edwin_Budding
1831,Michael Faraday invents a method of electromagnetic induction. It would be independently invented by Joseph Henry the following year.,15053,https://en.wikipedia.org/wiki/Michael_Faraday
1834,Moritz von Jacobi invents the first practical electric motor.,2464,https://en.wikipedia.org/wiki/Moritz_von_Jacobi
1835,Joseph Henry invents the electromechanical relay.,9012,https://en.wikipedia.org/wiki/Joseph_Henry
1837,Samuel Morse invents Morse code.,14534,https://en.wikipedia.org/wiki/Samuel_Morse
1838,Moritz von Jacobi invents electrotyping.,2464,https://en.wikipedia.org/wiki/Moritz_von_Jacobi
1839,William Otis invents the steam shovel.,1111,https://en.wikipedia.org/wiki/William_Otis
1839,James Nasmyth invents the steam hammer.,4368,https://en.wikipedia.org/wiki/James_Nasmyth
1839,"Edmond Becquerel invents a method for the photovoltaic effect, effectively producing the first solar cell.",2494,https://en.wikipedia.org/wiki/Edmond_Becquerel
1839,Charles Goodyear invents vulcanized rubber.,4382,https://en.wikipedia.org/wiki/Charles_Goodyear
1839,Louis Daguerre invents daguerreotype photography.,6065,https://en.wikipedia.org/wiki/Louis_Daguerre
1840,John Herschel invents the blueprint.,10130,https://en.wikipedia.org/wiki/John_Herschel
1841,Alexander Bain devises a printing telegraph.,3996,https://en.wikipedia.org/wiki/Alexander_Bain_(inventor)
1842,William Robert Grove invents the first fuel cell.,5022,https://en.wikipedia.org/wiki/William_Robert_Grove
1842,"John Bennet Lawes invents superphosphate, the first man-made fertilizer.",2057,https://en.wikipedia.org/wiki/John_Bennet_Lawes
1844,"Friedrich Gottlob Keller and, independently, Charles Fenerty come up with the wood pulp method of paper production.",2830,https://en.wikipedia.org/wiki/Friedrich_Gottlob_Keller
1845,Isaac Charles Johnson invents modern Portland cement.,1037,https://en.wikipedia.org/wiki/Isaac_Charles_Johnson
1846,Henri-Joseph Maus invents the tunnel boring machine.,6574,https://en.wikipedia.org/wiki/Tunnel_boring_machine
1847,"Ascanio Sobrero invents Nitroglycerin, the first explosive made that was stronger than black powder.",2033,https://en.wikipedia.org/wiki/Ascanio_Sobrero
1848,Jonathan J. Couch invents the pneumatic drill.,5137,https://en.wikipedia.org/wiki/Jackhammer
1848,Linus Yale Sr. invents the first modern pin tumbler lock.,6460,https://en.wikipedia.org/wiki/Linus_Yale_Jr.
1849,Walter Hunt invents the first repeating rifle to use metallic cartridges (of his own design) and a spring-fed magazine.,6527,https://en.wikipedia.org/wiki/Walter_Hunt_(inventor)
1849,James B. Francis invents the Francis turbine.,5197,https://en.wikipedia.org/wiki/James_B._Francis
1849,Walter Hunt invents the Safety pin.,6527,https://en.wikipedia.org/wiki/Walter_Hunt_(inventor)
1850,William Armstrong invents the hydraulic accumulator.,6738,"https://en.wikipedia.org/wiki/William_Armstrong,_1st_Baron_Armstrong"
1851,"George Jennings offers the first public flush toilets, accessible for a penny per visit, and in 1852 receives a UK patent for the single piece, free standing, earthenware, trap plumed, flushing, water-closet.",2758,https://en.wikipedia.org/wiki/George_Jennings
1852,Robert Bunsen is the first to use a chemical vapor deposition technique.,4597,https://en.wikipedia.org/wiki/Robert_Bunsen
1852,Elisha Otis invents the safety brake elevator.,2289,https://en.wikipedia.org/wiki/Elisha_Otis
1852,"Henri Giffard becomes the first person to make a manned, controlled and powered flight using a dirigible.",2097,https://en.wikipedia.org/wiki/Henri_Giffard
1853,François Coignet invents reinforced concrete.,11266,https://en.wikipedia.org/wiki/Reinforced_concrete
1855,"James Clerk Maxwell invents the first practical method for color photography, whether chemical or electronic.",16133,https://en.wikipedia.org/wiki/James_Clerk_Maxwell
1855,"Henry Bessemer patents the Bessemer process for making steel, with improvements made by others over the following years.",4471,https://en.wikipedia.org/wiki/Henry_Bessemer
1856,"Alexander Parkes invents parkesine, also known as celluloid, the first man-made plastic.",1891,https://en.wikipedia.org/wiki/Alexander_Parkes
1856,"James Harrison produces the world's first practical ice making machine and refrigerator using the principle of vapour compression in Geelong, Australia.",2545,https://en.wikipedia.org/wiki/James_Harrison_(engineer)
1856,"William Henry Perkin invents mauveine, the first synthetic dye.",4053,https://en.wikipedia.org/wiki/William_Henry_Perkin
1857,Heinrich Geissler invents the Geissler tube.,1277,https://en.wikipedia.org/wiki/Heinrich_Geissler
1857,"The phonautograph, the earliest known device for recording sound is patented and invented by Frenchman Édouard-Léon Scott de Martinville.",5140,https://en.wikipedia.org/wiki/Phonautograph
1860,Joseph Swan produces carbon fibers.,5909,https://en.wikipedia.org/wiki/Joseph_Swan
1864,Louis Pasteur invents the pasteurization process.,25087,https://en.wikipedia.org/wiki/Louis_Pasteur
1865,Carl Wilhelm Siemens and Pierre-Émile Martin invented the Siemens-Martin process for making steel.,4248,https://en.wikipedia.org/wiki/Carl_Wilhelm_Siemens
1867,"Alfred Nobel invents dynamite, the first safely manageable explosive stronger than black powder.",9239,https://en.wikipedia.org/wiki/Alfred_Nobel
1867,"Lucien B. Smith invents barbed wire, which Joseph F. Glidden will modify in 1874, leading to the taming of the West and the end of the cowboys.",13892,https://en.wikipedia.org/wiki/Barbed_wire
1872,"Polyvinyl chloride, more commonly known as vinyl, is synthesized by German chemist Eugen Baumann",11459,https://en.wikipedia.org/wiki/Polyvinyl_chloride
1872,J.E.T. Woods and J. Clark invented stainless steel. Harry Brearley was the first to commercialize it.,19700,https://en.wikipedia.org/wiki/Stainless_steel
1873,Frederick Ransome invents the rotary kiln.,1405,https://en.wikipedia.org/wiki/Frederick_Ransome
1873,"William Crookes, a chemist, invents the Crookes radiometer as the by-product of some chemical research.",10128,https://en.wikipedia.org/wiki/William_Crookes
1875,"Fyodor Pirotsky invents the first electric tram near Saint Petersburg, Russia.",1870,https://en.wikipedia.org/wiki/Fyodor_Pirotsky
1876,Nicolaus August Otto invents the four-stroke cycle.,3025,https://en.wikipedia.org/wiki/Nicolaus_August_Otto
1876,"Alexander Graham Bell has a patent granted for the telephone. However, other inventors before Bell had worked on the development of the telephone and the invention had several pioneers.",32032,https://en.wikipedia.org/wiki/Alexander_Graham_Bell
1877,Thomas Edison invents the first working phonograph.,27013,https://en.wikipedia.org/wiki/Thomas_Edison
1878,Henry Fleuss is granted a patent for the first practical rebreather.,13108,https://en.wikipedia.org/wiki/Henry_Fleuss
1878,Lester Allan Pelton invents the Pelton wheel.,2725,https://en.wikipedia.org/wiki/Lester_Allan_Pelton
1879,"Joseph Swan and Thomas Edison both patent a functional incandescent light bulb. Some two dozen inventors had experimented with electric incandescent lighting over the first three-quarters of the 19th century but never came up with a practical design. Swan's, which he had been working on since the 1860s, had a low resistance so was only suited for small installations. Edison designed a high-resistance bulb as part of a large-scale commercial electric lighting utility.",5909,https://en.wikipedia.org/wiki/Joseph_Swan
1881,"Nikolay Benardos presents carbon arc welding, the first practical arc welding method.",1068,https://en.wikipedia.org/wiki/Nikolay_Benardos
1884,"Hiram Maxim invents the recoil-operated Maxim gun, ushering in the age of semi- and fully automatic firearms.",6623,https://en.wikipedia.org/wiki/Hiram_Maxim
1884,"Paul Vieille invents Poudre B, the first smokeless powder for firearms.",906,https://en.wikipedia.org/wiki/Paul_Vieille
1884,Sir Charles Parsons invents the modern steam turbine.,6340,https://en.wikipedia.org/wiki/Charles_Algernon_Parsons
1885,John Kemp Starley invents the modern safety bicycle.,2043,https://en.wikipedia.org/wiki/John_Kemp_Starley
1886,"Carl Gassner invents the zinc-carbon battery, the first dry cell battery, making portable electronics practical.",1740,https://en.wikipedia.org/wiki/Carl_Gassner
1886,Charles Martin Hall and independently Paul Héroult invent the Hall-Héroult process for economically producing aluminum in 1886.,3604,https://en.wikipedia.org/wiki/Charles_Martin_Hall
1886,Karl Benz invents the first petrol or gasoline powered auto-mobile (car).,8823,https://en.wikipedia.org/wiki/Karl_Benz
1887,Carl Josef Bayer invents the Bayer process for the production of alumina.,1948,https://en.wikipedia.org/wiki/Carl_Josef_Bayer
1887,James Blyth invents the first wind turbine used for generating electricity.,2400,https://en.wikipedia.org/wiki/James_Blyth_(engineer)
1887,"John Stewart MacArthur, working in collaboration with brothers Dr. Robert and Dr. William Forrest develops the process of gold cyanidation.",780,https://en.wikipedia.org/wiki/John_Stewart_MacArthur
1888,John J. Loud invents the ballpoint pen.,1839,https://en.wikipedia.org/wiki/John_J._Loud
1888,Thomas Edison and William Kennedy Dickson invents Kinetoscope.,27013,https://en.wikipedia.org/wiki/Thomas_Edison
1888,Heinrich Hertz publishes a conclusive proof of James Clerk Maxwell's electromagnetic theory in experiments that also demonstrate the existence of radio waves. The effects of electromagnetic waves had been observed by many people before this but no usable theory explaining them existed until Maxwell.,9419,https://en.wikipedia.org/wiki/Heinrich_Hertz
1888,"The first practical pneumatic tire was made by Scotsman John Boyd Dunlop, the patent was from 1847 by Robert William Thomson",20617,https://en.wikipedia.org/wiki/Pneumatic_tire
1890,Robert Gair would invent the pre-cut cardboard box.,745,https://en.wikipedia.org/wiki/Robert_Gair
1891,Whitcomb Judson invents the zipper.,2970,https://en.wikipedia.org/wiki/Whitcomb_Judson
1892,Thomas Ahearn invents the electric oven.,2762,https://en.wikipedia.org/wiki/Thomas_Ahearn
1893,Rudolf Diesel invents the diesel engine (although Herbert Akroyd Stuart had experimented with compression ignition before Diesel).,4437,https://en.wikipedia.org/wiki/Rudolf_Diesel
1895,Guglielmo Marconi invents a system of wireless communication using radio waves.,20283,https://en.wikipedia.org/wiki/Guglielmo_Marconi
1898,"Hans von Pechmann synthesizes polyethylene, now the most common plastic in the world.",1561,https://en.wikipedia.org/wiki/Hans_von_Pechmann
1899,Waldemar Jungner invents the rechargeable nickel-cadmium battery (NiCd) as well as the nickel-iron electric storage battery (NiFe) and the rechargeable alkaline silver-cadmium battery (AgCd),1331,https://en.wikipedia.org/wiki/Waldemar_Jungner
1900,The first Zeppelin is designed by Theodor Kober.,20647,https://en.wikipedia.org/wiki/Zeppelin
1901,"The first motorized cleaner using suction, a powered ""vacuum cleaner"", is patented independently by Hubert Cecil Booth and David T. Kenney.",10139,https://en.wikipedia.org/wiki/Vacuum_cleaner
1903,The first successful gas turbine is invented by Ægidius Elling.,18084,https://en.wikipedia.org/wiki/Gas_turbine
1903,Édouard Bénédictus invents laminated glass.,4299,https://en.wikipedia.org/wiki/Laminated_glass
1903,"First sustained and controlled heavier-than-air powered flight achieved by an airplane flown at Kitty Hawk, North Carolina by Orville and Wilbur Wright. See Claims to the first powered flight.",11225,https://en.wikipedia.org/wiki/Airplane
1904,"The Fleming valve, the first vacuum tube and diode, is invented by John Ambrose Fleming.",3735,https://en.wikipedia.org/wiki/Fleming_valve
1907,The first free flight of a rotary-wing aircraft is carried out by Paul Cornu.,1063,https://en.wikipedia.org/wiki/Paul_Cornu
1907,"Leo Baekeland invents bakelite,  the first plastic made from synthetic components.",7011,https://en.wikipedia.org/wiki/Leo_Baekeland
1908,Cellophane is invented by Jacques E. Brandenberger.,2959,https://en.wikipedia.org/wiki/Cellophane
1909,Fritz Haber invents the Haber process.,13901,https://en.wikipedia.org/wiki/Fritz_Haber
1909,"The first instantaneous transmission of images, or television broadcast, is carried out by Georges Rignoux and A. Fournier.",40648,https://en.wikipedia.org/wiki/Television
1911,"The cloud chamber, the first particle detector, is invented by Charles Thomson Rees Wilson.",4594,https://en.wikipedia.org/wiki/Cloud_chamber
1912,The first use of articulated trams by Boston Elevated Railway.,29799,https://en.wikipedia.org/wiki/Tram
1913,The Bergius process is developed by Friedrich Bergius.,2027,https://en.wikipedia.org/wiki/Bergius_process
1913,The Kaplan turbine is invented by Viktor Kaplan.,2628,https://en.wikipedia.org/wiki/Kaplan_turbine
1915,"Harry Brearley invents a process to create Martensitic stainless steel, initially labelled Rustless Steel, later marketed as Staybrite, and AISI Type 420.",2509,https://en.wikipedia.org/wiki/Harry_Brearley
1915,"The first operational military tanks are designed in Great Britain and France. They are used in battle from 1916 and 1917 respectively. The designers in Great Britain are Walter Wilson and William Tritton and in France, Eugène Brillié. (Although it is known that vehicles incorporating at least some of the features of the tank were designed in a number of countries from 1903 onward, none reached a practical form.)",28127,https://en.wikipedia.org/wiki/Tanks
1916,"The Czochralski process, widely used for the production of single crystal silicon, is invented by Jan Czochralski.",3957,https://en.wikipedia.org/wiki/Czochralski_process
1917,The crystal oscillator is invented by Alexander M. Nicholson using a crystal of Rochelle Salt although his priority was disputed by Walter Guyton Cady.,17135,https://en.wikipedia.org/wiki/Crystal_oscillator
1926,"The Yagi-Uda Antenna or simply Yagi Antenna is invented by Shintaro Uda of Tohoku Imperial University, assisted by his colleague Hidetsugu Yagi. The Yagi Antenna was widely used during World War II. After the war they saw extensive development as home television antennas.",10101,https://en.wikipedia.org/wiki/Yagi-Uda_Antenna
1926,Robert H. Goddard launches the first liquid fueled rocket.,24661,https://en.wikipedia.org/wiki/Robert_H._Goddard
1926,"Harry Ferguson, patents the Three-point hitch equipment linkage system for tractors.",4690,https://en.wikipedia.org/wiki/Harry_Ferguson
1926,John Logie Baird demonstrates the world's first live working television system.,8014,https://en.wikipedia.org/wiki/John_Logie_Baird
1927,The quartz clock is invented by Warren Marrison and J.W. Horton at Bell Telephone Laboratories.,9710,https://en.wikipedia.org/wiki/Quartz_clock
1928,"Penicillin is first observed to exude antibiotic substances by Nobel laureate Alexander Fleming. Development of medicinal penicillin is attributed to a team of medics and scientists including Howard Walter Florey, Ernst Chain and Norman Heatley.",20505,https://en.wikipedia.org/wiki/Penicillin
1928,"Frank Whittle formally submitted his ideas for a turbo-jet engine. In October 1929, he developed his ideas further. On 16 January 1930, Whittle submitted his first patent (granted in 1932).",15007,https://en.wikipedia.org/wiki/Frank_Whittle
1928,Philo Farnsworth demonstrates the first practical electronic television to the press.,14223,https://en.wikipedia.org/wiki/Philo_Farnsworth
1929,The ball screw is invented by Rudolph G. Boehm.,4488,https://en.wikipedia.org/wiki/Ball_screw
1930,The Supersonic combusting ramjet — Frank Whittle.,14267,https://en.wikipedia.org/wiki/Supersonic_combusting_ramjet
1930,The Phase-contrast microscopy is invented by Frits Zernike.,2935,https://en.wikipedia.org/wiki/Phase-contrast_microscopy
1931,The electron microscope is invented by Ernst Ruska.,10477,https://en.wikipedia.org/wiki/Electron_microscope
1933,FM radio is patented by inventor Edwin H. Armstrong.,13257,https://en.wikipedia.org/wiki/FM_radio
1935,"Nylon, the first fully synthetic fiber is produced by Wallace Carothers while working at DuPont.",16928,https://en.wikipedia.org/wiki/Nylon
1938,"Z1, built by Konrad Zuse, is the first freely programmable computer in the world.",2914,https://en.wikipedia.org/wiki/Z1_(computer)
1938,"Nuclear fission discovered in experiment by chemists Otto Hahn and Fritz Strassmann and physicists Lise Meitner and Otto Robert Frisch. The German nuclear energy project was based on this research. The Tube Alloys project and, subsequently, the Manhattan Project and the Soviet atomic bomb project were influenced by this research.",19104,https://en.wikipedia.org/wiki/Nuclear_fission
1939,G. S. Yunyev or Naum Gurvich invented the electric current defibrillator,1025,https://en.wikipedia.org/wiki/Naum_Gurvich
1940,Pu-239 isotope (isotope of plutonium) a form of matter existing with the capacity for use as a destructive element (because the isotope has an exponentially increasing spontaneous fissile decay) within nuclear devices — Glenn Seaborg.,10123,https://en.wikipedia.org/wiki/Isotopes_of_plutonium#Notable_isotopes
1940,"John Randall and Harry Boot would develop the high power, microwave generating, cavity magnetron, later applied to commercial Radar and Microwave oven appliances.",4803,https://en.wikipedia.org/wiki/John_Randall_(physicist)
1941,Polyester is invented by John Rex Whinfield and James Dickson.,11873,https://en.wikipedia.org/wiki/Polyester
1942,"The V-2 rocket, the world's first long range ballistic missile, developed by engineer Wernher von Braun.",19215,https://en.wikipedia.org/wiki/V-2_rocket
1945,"The atomic bomb is developed by the Manhattan Project and swiftly deployed in August 1945 in the atomic bombings of Hiroshima and Nagasaki, effectively ending World War II.",38524,https://en.wikipedia.org/wiki/Manhattan_Project
1945,"Percy Spencer, while employed at Raytheon, would patent a magnetron based microwave oven.",1852,https://en.wikipedia.org/wiki/Percy_Spencer
1946,"James Martin invents the ejector seat, inspired by the death of his friend and test pilot Captain Valentine Baker in an aeroplane crash in 1942.",1388,https://en.wikipedia.org/wiki/James_Martin_(engineer)
1947,Holography is invented by Dennis Gabor.,15404,https://en.wikipedia.org/wiki/Holography
1947,Floyd Farris and J.B. Clark (Stanolind Oil and Gas Corporation) invents hydraulic fracturing technology.,8040,https://en.wikipedia.org/wiki/Stanolind_Oil_and_Gas_Corporation
1947,"The first transistor, a bipolar point-contact transistor, is invented by John Bardeen and Walter Brattain under the supervision of William Shockley at Bell Labs.",18239,https://en.wikipedia.org/wiki/Transistor
1948,The first atomic clock is developed at the National Bureau of Standards.,28806,https://en.wikipedia.org/wiki/Atomic_clock
1948,"Basic oxygen steelmaking is developed by Robert Durrer. The vast majority of steel manufactured in the world is produced using the basic oxygen furnace; in 2000, it accounted for 60% of global steel output.",3560,https://en.wikipedia.org/wiki/Basic_oxygen_steelmaking
1950,"Bertie the Brain, debatably the first video game, is displayed to the public at the Canadian National Exhibition.",2533,https://en.wikipedia.org/wiki/Bertie_the_Brain
1950,The Toroidal chamber with axial magnetic fields (the Tokamak) is developed by Igor E. Tamm and Andrei D. Sakharov.,24993,https://en.wikipedia.org/wiki/Tokamak
1952,The float glass process is developed by Alastair Pilkington.,3908,https://en.wikipedia.org/wiki/Float_glass
1952,The first thermonuclear weapon is developed.,21245,https://en.wikipedia.org/wiki/Thermonuclear_weapon
1953,"The first video tape recorder, a helical scan recorder, is invented by Norikazu Sawazaki.",5056,https://en.wikipedia.org/wiki/Video_tape_recorder
1954,"Invention of the solar battery by Bell Telephone scientists, Calvin Souther Fuller, Daryl Chapin and Gerald Pearson capturing the Sun's power. First practical means of collecting energy from the Sun and turning it into a current of electricity.",2050,https://en.wikipedia.org/wiki/Calvin_Souther_Fuller
1955,The hovercraft is patented by Christopher Cockerell.,14212,https://en.wikipedia.org/wiki/Hovercraft
1955,The intermodal container is developed by Malcom McLean.,19181,https://en.wikipedia.org/wiki/Intermodal_container
1956,The hard disk drive is invented by IBM.,28866,https://en.wikipedia.org/wiki/Hard_disk_drive
1957,The laser and optical amplifier are invented and named by Gordon Gould and Charles Townes. The laser and optical amplifier are foundational to powering the Internet.,21218,https://en.wikipedia.org/wiki/Laser
1957,"The first personal computer used by one person and controlled by a keyboard, the IBM 610, is invented in 1957 by IBM.",15942,https://en.wikipedia.org/wiki/Personal_computer
1957,"The first artificial satellite, Sputnik 1, is launched.",9686,https://en.wikipedia.org/wiki/Satellite
1958 - 1959,The integrated circuit is independently invented by Jack Kilby and Robert Noyce.,22895,https://en.wikipedia.org/wiki/Integrated_circuit
1959,"The MOSFET (MOS transistor) is invented by the Egyptian Mohamed Atalla and the Korean Dawon Kahng at Bell Labs. It is used in almost all modern electronic products. It was smaller, faster, more reliable and cheaper to manufacture than earlier bipolar transistors, leading to a revolution in computers, controls and communication.",19267,https://en.wikipedia.org/wiki/MOSFET
1960,The first functioning laser is invented by Theodore Maiman.,21218,https://en.wikipedia.org/wiki/Laser
1963,The first electronic cigarette is created by Herbert A. Gilbert. Hon Lik is often credited with its invention as he developed the modern electronic cigarette and was the first to commercialize it.,44419,https://en.wikipedia.org/wiki/Electronic_cigarette
1964,"Shinkansen, the first high-speed rail commercial passenger service.",27068,https://en.wikipedia.org/wiki/Shinkansen
1965,Kevlar is invented by Stephanie Kwolek at DuPont.,7863,https://en.wikipedia.org/wiki/Kevlar
1969,"ARPANET and the NPL network implement packet switching, drawing on the concepts and designs of Donald Davies, and Paul Baran.",17807,https://en.wikipedia.org/wiki/ARPANET#ARPANET_deployed
